time,lat,lon,Solar_Radiation_Flux,Cloud_Cover_Mean_24h,elevation
2024-01-02,25.2,-4.5,15.510618,0.054588426,270
2024-05-09,54.6,132.6,11.718683,0.7099285,496
2024-08-07,63.5,96.2,15.384322,0.75187206,380
2024-02-23,33.9,49.5,18.264828,0.7729429,2238
2024-12-08,-33.1,141.3,30.662754,0.6432601,79
2024-08-11,19.7,9.3,20.851002,0.54780984,721
2024-08-12,-21.3,-46.4,18.31476,0.9135914,931
2024-05-05,62.4,80.9,10.033726,0.7765011,113
2024-05-09,-20.4,123.3,19.706958,0.03281396,258
2024-02-22,62.2,86.6,5.20864,0.97286695,85
2024-06-20,10.5,119.2,8.1580835,0.9546121,6
2024-08-05,-27.9,27.6,17.272788,0.20486373,1522
2024-06-08,-33.7,-58.6,7.0708855,0.955783,3
2024-07-16,-20.9,140.5,17.562338,0.0050676246,275
2024-09-03,-34.2,143.5,18.354706,0.0334665,66
2024-11-19,16.9,100.3,17.33633,0.15612751,47
2024-07-21,67.9,-137.9,25.391918,0.25067925,560
2024-07-02,16.6,104.9,18.853912,0.94311064,173
2024-05-02,9.4,22.4,25.480618,0.54099596,520
2024-09-11,-42.2,-74.0,7.608462,0.9706362,317
2024-10-20,11.4,17.6,19.841664,0.6028907,356
2024-10-06,64.1,125.2,5.794381,0.667731,128
2024-11-20,-19.6,28.4,29.797656,0.05483795,1186
2024-04-07,25.8,64.4,26.342026,0.03360992,513
2024-07-16,50.1,-124.5,28.824554,0.04244127,333
2024-08-27,50.8,100.1,18.938464,0.41072166,2261
2024-05-23,41.9,-72.7,16.240601,0.72453004,54
2024-04-06,66.4,76.1,15.932471,0.44451576,60
2024-07-19,59.5,98.7,21.308246,0.9433249,433
2024-05-03,52.7,-63.9,17.942458,0.8711073,587
2024-07-05,28.7,-9.5,28.594198,0.17595999,531
2024-11-21,28.0,-8.6,15.609169,0.04846743,491
2024-12-14,51.2,-0.8,2.4938,0.7631979,97
2024-05-27,51.0,57.2,27.126344,0.16976923,245
2024-09-08,67.7,-68.6,8.425128,0.72624534,554
2024-12-11,12.5,37.4,21.033614,0.07272466,2126
2024-05-26,58.3,-126.7,24.709776,0.66009504,1329
2024-05-27,8.4,45.7,23.285474,0.21180363,801
2024-12-17,43.5,-114.4,7.524312,0.78066164,2067
2024-07-17,-4.0,27.8,18.903084,0.75399303,1224
2024-11-03,-1.9,12.6,15.385076,0.9134891,812
2024-05-07,30.0,96.9,30.347602,0.86810756,4095
2024-02-08,35.7,98.6,17.221934,0.53132695,4191
2024-12-03,35.2,118.5,10.132326,0.17661259,70
2024-12-25,23.7,68.5,15.941117,0.0,10
2024-05-08,16.0,98.2,22.494258,0.45289552,111
2024-09-23,66.5,72.8,5.460056,0.8354718,19
2024-05-30,63.9,121.3,26.58349,0.61431265,149
2024-10-24,41.6,93.4,11.076773,0.76658595,1215
2024-04-08,69.9,-75.5,10.712161,0.9559613,319
2024-09-19,57.2,36.3,10.036057,0.63120496,144
2024-09-08,-24.6,144.4,22.706534,0.024226889,239
2024-05-23,18.3,102.9,12.296438,0.93819314,694
2024-12-11,25.4,16.4,15.969266,0.55834585,580
2024-04-21,-18.9,142.2,21.628882,0.3835414,130
2024-02-29,-15.0,-70.5,22.447808,0.8267276,3920
2024-01-02,5.1,35.1,18.751432,0.40584296,472
2024-10-30,60.2,-121.6,2.4035455,0.9554282,550
2024-09-10,-12.2,-53.1,23.010198,0.2540548,316
2024-05-19,67.6,17.7,17.581024,0.7387768,779
2024-02-06,-27.4,132.4,27.853876,0.13807315,393
2024-06-08,-17.0,-41.4,10.591912,0.7971113,756
2024-01-09,-25.7,136.0,30.745064,0.051639054,121
2024-08-20,35.6,119.1,9.452019,0.6330903,286
2024-04-08,-9.9,-77.3,21.183134,0.8671808,4351
2024-05-26,-22.4,28.5,17.03898,0.0051656156,778
2024-10-30,58.1,101.4,1.913307625,0.94224924,343
2024-07-26,49.9,101.8,22.574282,0.4287138,1741
2024-05-10,-2.0,-48.8,16.77254,0.7919236,18
2024-05-31,6.5,-70.0,14.601056,0.7929595,98
2024-02-23,29.5,-103.3,18.455124,0.71549004,994
2024-04-29,39.4,97.1,21.566216,0.56725156,3060
2024-06-09,60.6,36.9,17.909782,0.7615548,126
2024-04-25,21.5,55.7,28.388626,0.033458397,61
2024-03-15,69.7,23.6,5.417566,0.70378226,508
2024-04-22,65.0,92.3,15.400026,0.96324635,428
2024-04-13,-18.2,28.8,10.266341,0.9040558,1147
2024-12-05,33.7,50.3,12.813258,0.33257937,1774
2024-09-10,34.5,35.9,20.79079,0.17473093,3
2024-08-14,17.0,2.7,22.813762,0.73775196,419
2024-04-21,-32.5,146.4,17.802016,0.014898305,357
2024-04-08,-4.5,29.5,18.077688,0.77678734,767
