points_x,Solar_Radiation_Flux,crs_x,lat,lon,time,points_y,Cloud_Cover_Mean_24h,crs_y,elevation
99,12739451.0,1,8.700000000004621,-75.10000000000596,2024-05-08,99,0.9259929,1,17
100,28118132.0,1,32.30000000000328,-111.00000000000392,2024-05-15,100,0.24293093,1,866
101,7326785.5,1,60.40000000000168,114.79999999998324,2024-03-03,101,0.942702,1,403
102,19857118.0,1,0.8000000000050704,17.39999999998878,2024-05-18,102,0.6215907,1,324
103,25191212.0,1,21.800000000003877,-3.500000000010033,2024-03-21,103,0.017655315,1,295
104,24513020.0,1,47.60000000000241,34.49999999998781,2024-06-11,104,0.4542015,1,15
105,22678880.0,1,17.70000000000411,36.299999999987705,2024-10-15,105,0.0887391,1,662
106,19646810.0,1,-2.499999999994742,38.69999999998757,2024-09-17,106,0.4280151,1,367
107,16444117.0,1,62.100000000001586,54.69999999998666,2024-08-18,107,0.44208187,1,160
108,3350015.8,1,60.200000000001694,5.299999999989467,2024-02-10,108,0.96269894,1,26
109,25941968.0,1,-28.699999999993253,-57.100000000006986,2024-01-28,109,0.14565957,1,70
110,20120236.0,1,48.70000000000235,94.99999999998437,2024-05-14,110,0.9070891,1,1736
111,23138936.0,1,39.80000000000285,95.59999999998433,2024-07-19,111,0.6063392,1,2847
112,15012690.0,1,-0.6999999999948443,30.19999999998805,2024-11-23,112,0.81068796,1,1575
113,,1,44.3000000000026,-86.8000000000053,2024-09-24,113,,1,175
114,20418546.0,1,18.20000000000408,76.39999999998543,2024-02-02,114,0.06343295,1,643
115,18388030.0,1,36.50000000000304,77.59999999998536,2024-02-17,115,0.56739277,1,5363
116,3291297.0,1,68.9000000000012,78.79999999998529,2024-03-02,116,0.9541785,1,68
117,13599046.0,1,67.50000000000128,-159.30000000000118,2024-08-03,117,0.9300227,1,548
118,18231186.0,1,5.800000000004786,125.39999999998264,2024-10-19,118,0.9629246,1,627
119,19927654.0,1,-3.2999999999946965,-72.10000000000613,2024-04-08,119,0.72571546,1,106
120,20580716.0,1,8.400000000004638,1.9999999999896545,2024-06-20,120,0.5710049,1,238
121,18615438.0,1,19.400000000004013,19.99999999998863,2024-12-25,121,0.25942525,1,486
122,27574188.0,1,26.200000000003627,33.09999999998789,2024-08-01,122,0.0032458566,1,311
123,8373432.0,1,-49.29999999999208,-68.10000000000636,2024-02-04,123,0.85308194,1,241
124,7508445.5,1,67.60000000000127,63.399999999986164,2024-08-14,124,0.9683618,1,172
125,16474898.0,1,-2.3999999999947477,12.499999999989058,2024-04-10,125,0.87482923,1,656
126,18732952.0,1,67.40000000000128,-149.00000000000176,2024-05-10,126,0.71205753,1,1147
127,20573958.0,1,-3.399999999994691,23.399999999988438,2024-09-13,127,0.46275362,1,498
128,17236264.0,1,23.50000000000378,17.599999999988768,2024-01-05,128,0.18276039,1,557
129,13570189.0,1,6.500000000004746,-4.900000000009953,2024-08-05,129,0.74569243,1,125
130,14075655.0,1,68.30000000000123,-35.8000000000082,2024-09-11,130,0.36686707,1,2799
